ID,Time,Seconds,X,Y,Z
1,2019-12-13T16:35:41Z,813.088,0.966,-0.379,-0.064
1,2019-12-13T16:35:41Z,813.122,0.874,-0.312,-0.134
1,2019-12-13T16:35:41Z,813.156,1.064,-0.132,-0.247
1,2019-12-13T16:35:41Z,813.190,1.072,0.196,-0.064
1,2019-12-13T16:35:41Z,813.224,0.911,0.102,0.023
1,2019-12-13T16:35:41Z,813.257,0.523,-0.063,-0.144
1,2019-12-13T16:35:41Z,813.291,0.919,0.586,0.188
1,2019-12-13T16:35:41Z,813.325,0.746,0.889,-0.068
1,2019-12-13T16:35:41Z,813.359,0.529,0.657,-0.004
1,2019-12-13T16:35:41Z,813.393,0.767,0.765,0.313
1,2019-12-13T16:35:41Z,813.426,0.644,0.716,0.231
1,2019-12-13T16:35:41Z,813.460,0.557,0.989,0.128
1,2019-12-13T16:35:41Z,813.494,0.597,0.891,0.261
1,2019-12-13T16:35:41Z,813.528,0.545,0.728,0.313
1,2019-12-13T16:35:41Z,813.562,0.460,0.519,0.366
1,2019-12-13T16:35:41Z,813.595,0.468,0.645,0.615
1,2019-12-13T16:35:41Z,813.629,0.147,1.101,0.484
1,2019-12-13T16:35:41Z,813.663,0.417,0.828,0.544
1,2019-12-13T16:35:41Z,813.697,0.297,0.587,0.447
1,2019-12-13T16:35:41Z,813.731,0.238,0.733,0.381
1,2019-12-13T16:35:41Z,813.764,0.036,0.964,0.357
1,2019-12-13T16:35:41Z,813.798,-0.073,1.231,0.007
1,2019-12-13T16:35:41Z,813.832,0.093,1.012,0.386
1,2019-12-13T16:35:41Z,813.866,-0.047,0.950,0.471
1,2019-12-13T16:35:41Z,813.900,-0.146,1.023,0.328
1,2019-12-13T16:35:41Z,813.933,-0.130,0.842,0.437
1,2019-12-13T16:35:41Z,813.967,-0.074,0.683,0.346
1,2019-12-13T16:35:41Z,814.001,-0.017,0.687,0.155
1,2019-12-13T16:35:41Z,814.035,-0.045,0.909,0.312
1,2019-12-13T16:35:41Z,814.069,-0.061,0.941,0.346
1,2019-12-13T16:35:41Z,814.102,0.053,0.814,0.195
1,2019-12-13T16:35:41Z,814.136,0.022,1.067,0.192
1,2019-12-13T16:35:41Z,814.170,-0.021,1.061,0.197
1,2019-12-13T16:35:41Z,814.204,-0.023,1.150,0.336
1,2019-12-13T16:35:41Z,814.238,-0.016,1.333,0.017
1,2019-12-13T16:35:41Z,814.271,0.002,1.166,0.003
1,2019-12-13T16:35:41Z,814.305,-0.038,1.022,0.085
1,2019-12-13T16:35:41Z,814.339,-0.053,1.084,-0.108
1,2019-12-13T16:35:41Z,814.373,-0.017,0.979,-0.156
1,2019-12-13T16:35:41Z,814.407,0.021,0.875,-0.194
1,2019-12-13T16:35:41Z,814.440,0.018,0.881,-0.188
1,2019-12-13T16:35:41Z,814.474,-0.011,0.953,-0.240
1,2019-12-13T16:35:41Z,814.508,0.012,0.875,-0.249
1,2019-12-13T16:35:41Z,814.542,0.026,0.842,-0.223
1,2019-12-13T16:35:41Z,814.576,0.037,0.899,-0.277
1,2019-12-13T16:35:41Z,814.609,0.048,0.919,-0.333
1,2019-12-13T16:35:41Z,814.643,0.031,0.849,-0.254
1,2019-12-13T16:35:41Z,814.677,0.033,0.845,-0.287
1,2019-12-13T16:35:41Z,814.711,0.008,1.010,-0.340
1,2019-12-13T16:35:41Z,814.745,-0.012,1.081,-0.339
1,2019-12-13T16:35:41Z,814.778,-0.000,1.109,-0.307
1,2019-12-13T16:35:41Z,814.812,0.024,1.142,-0.432
1,2019-12-13T16:35:41Z,814.846,-0.034,1.115,-0.364
1,2019-12-13T16:35:41Z,814.880,-0.004,0.998,-0.317
1,2019-12-13T16:35:41Z,814.914,-0.010,1.086,-0.407
1,2019-12-13T16:35:41Z,814.947,0.038,1.102,-0.426
1,2019-12-13T16:35:41Z,814.981,0.069,1.081,-0.459
1,2019-12-13T16:35:41Z,815.015,0.054,1.039,-0.428
1,2019-12-13T16:35:41Z,815.049,0.066,0.929,-0.405
1,2019-12-13T16:35:41Z,815.083,0.026,0.827,-0.415
1,2019-12-13T16:35:41Z,815.116,-0.004,0.762,-0.385
1,2019-12-13T16:35:41Z,815.150,0.025,0.817,-0.362
1,2019-12-13T16:35:41Z,815.184,0.005,0.919,-0.383
1,2019-12-13T16:35:41Z,815.218,0.056,0.820,-0.359
1,2019-12-13T16:35:41Z,815.252,0.083,0.852,-0.413
1,2019-12-13T16:35:41Z,815.285,0.141,0.389,-0.196
1,2019-12-13T16:35:41Z,815.319,0.057,0.814,-0.236
1,2019-12-13T16:35:41Z,815.353,0.134,0.982,-0.520
1,2019-12-13T16:35:41Z,815.387,0.076,1.078,-0.482
1,2019-12-13T16:35:41Z,815.421,0.007,1.020,-0.568
1,2019-12-13T16:35:41Z,815.454,-0.000,0.849,-0.494
1,2019-12-13T16:35:41Z,815.488,0.023,0.858,-0.462
1,2019-12-13T16:35:41Z,815.522,0.021,0.872,-0.441
1,2019-12-13T16:35:41Z,815.556,0.012,0.904,-0.424
1,2019-12-13T16:35:41Z,815.590,-0.003,0.741,-0.172
1,2019-12-13T16:35:41Z,815.623,-0.012,0.847,-0.178
